framework,selection,model,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none
logistic,backward,Logistic - Backward,0.18000000000000002,0,-0.18316309839700487,0
logistic,backward,Logistic - Backward,0.19,0,-0.1977700502290666,0
logistic,backward,Logistic - Backward,0.2,0,-0.21274217585692995,0
logistic,forward,Logistic - Forward,0.01,0.01813966791612097,0.02000632253985458,0
logistic,forward,Logistic - Forward,0.02,0.010797165363910094,0.010006387055567383,0
logistic,forward,Logistic - Forward,0.03,0.0021509671670226008,-1.9973266550923907e-4,0
logistic,forward,Logistic - Forward,0.04,9.314456035767511e-4,-0.01061847988077497,0
logistic,forward,Logistic - Forward,0.05,-0.0035296886030276894,-0.021256569142677862,0
logistic,forward,Logistic - Forward,0.060000000000000005,-0.004217268605130482,-0.0321210007293021,0
logistic,forward,Logistic - Forward,0.06999999999999999,-0.00344534717882153,-0.04321907600596124,0
logistic,forward,Logistic - Forward,0.08,-0.0029158297155446127,-0.054558413788634755,0
logistic,forward,Logistic - Forward,0.09,-0.0024893139647238,-0.06614696778631204,0
logistic,forward,Logistic - Forward,0.09999999999999999,-0.0021526742838218244,-0.07799304520615995,0
logistic,forward,Logistic - Forward,0.11,-0.0027629397679130594,-0.09010532661297074,0
logistic,forward,Logistic - Forward,0.12,-0.0022354694485842022,-0.1024928871426636,0
logistic,forward,Logistic - Forward,0.13,-0.002004213988385837,-0.11516521917878618,0
logistic,forward,Logistic - Forward,0.14,-0.0016982636121027276,-0.12813225661109762,0
logistic,forward,Logistic - Forward,0.15000000000000002,-7.889892171473659e-4,-0.14140440080652233,0
logistic,forward,Logistic - Forward,0.16,-5.677382726563054e-4,-0.1549925484351714,0
logistic,forward,Logistic - Forward,0.17,0,-0.1689081213078843,0
logistic,forward,Logistic - Forward,0.18000000000000002,0,-0.18316309839700487,0
logistic,forward,Logistic - Forward,0.19,0,-0.1977700502290666,0
logistic,forward,Logistic - Forward,0.2,0,-0.21274217585692995,0
logistic,group_lasso,Logistic - Group lasso,0.01,0.020006322539854585,0.02000632253985458,0
logistic,group_lasso,Logistic - Group lasso,0.02,0.010006387055567384,0.010006387055567383,0
logistic,group_lasso,Logistic - Group lasso,0.03,-0.002965261880252585,-1.9973266550923907e-4,0
logistic,group_lasso,Logistic - Group lasso,0.04,-0.00254595131644312,-0.01061847988077497,0
logistic,group_lasso,Logistic - Group lasso,0.05,0,-0.021256569142677862,0
logistic,group_lasso,Logistic - Group lasso,0.060000000000000005,0,-0.0321210007293021,0
logistic,group_lasso,Logistic - Group lasso,0.06999999999999999,0,-0.04321907600596124,0
logistic,group_lasso,Logistic - Group lasso,0.08,0,-0.054558413788634755,0
logistic,group_lasso,Logistic - Group lasso,0.09,0,-0.06614696778631204,0
logistic,group_lasso,Logistic - Group lasso,0.09999999999999999,0,-0.07799304520615995,0
logistic,group_lasso,Logistic - Group lasso,0.11,0,-0.09010532661297074,0
logistic,group_lasso,Logistic - Group lasso,0.12,0,-0.1024928871426636,0
logistic,group_lasso,Logistic - Group lasso,0.13,0,-0.11516521917878618,0
logistic,group_lasso,Logistic - Group lasso,0.14,0,-0.12813225661109762,0
logistic,group_lasso,Logistic - Group lasso,0.15000000000000002,0,-0.14140440080652233,0
logistic,group_lasso,Logistic - Group lasso,0.16,0,-0.1549925484351714,0
logistic,group_lasso,Logistic - Group lasso,0.17,0,-0.1689081213078843,0
logistic,group_lasso,Logistic - Group lasso,0.18000000000000002,0,-0.18316309839700487,0
logistic,group_lasso,Logistic - Group lasso,0.19,0,-0.1977700502290666,0
logistic,group_lasso,Logistic - Group lasso,0.2,0,-0.21274217585692995,0
